iter	R2	RMSE
0	0.05670597544	0.1732116815
1	0.1084058168	0.1683981241
2	0.1571398905	0.1637311779
3	0.2046212333	0.1590525486
4	0.2474933489	0.1547065878
5	0.2890306683	0.1503761875
6	0.3285214796	0.1461402004
7	0.3655239633	0.1420565451
8	0.3996086661	0.138188163
9	0.4325010994	0.134349529
10	0.4639214378	0.1305773517
11	0.4931379082	0.1269692464
12	0.520516657	0.1234924476
13	0.5457568283	0.1201981656
14	0.5703291573	0.1169019022
15	0.5927463341	0.1138114974
16	0.6147132325	0.110699506
17	0.6352823777	0.107704044
18	0.6550327865	0.1047472298
19	0.673229856	0.101947087
20	0.6906290675	0.09919582397
21	0.706771231	0.09657326726
22	0.7220845233	0.09401778222
23	0.7372028401	0.09142478965
24	0.7508667917	0.08901628111
25	0.7635479842	0.0867211736
26	0.7762992803	0.08435043503
27	0.7878933731	0.08213547156
28	0.7989242547	0.07997117549
29	0.8090133456	0.07793905695
30	0.8187945794	0.07591703335
31	0.8278762235	0.0739901775
32	0.836407001	0.07213333189
33	0.8445705422	0.07031051874
34	0.8526389993	0.0684612646
35	0.8599504917	0.06674126443
36	0.8670134937	0.06503653941
37	0.873187061	0.06350902127
38	0.8793655844	0.061942574
39	0.8853383708	0.06038967472
40	0.8906524682	0.05897366636
41	0.8958850837	0.05754533374
42	0.9007059067	0.05619728616
43	0.905458519	0.05483588244
44	0.9095797398	0.05362737166
45	0.9138363472	0.05234987959
46	0.9178042436	0.05113029922
47	0.9217383949	0.04989166661
48	0.9252444702	0.0487613025
49	0.9286843289	0.04762622098
50	0.9319742632	0.04651470416
51	0.9350112484	0.04546453288
52	0.9379739081	0.04441614326
53	0.9406801699	0.04343637615
54	0.9433714453	0.04243960907
55	0.9458086979	0.04151627971
56	0.9481568492	0.04060685273
57	0.9503422009	0.03974178502
58	0.9523533453	0.0389286948
59	0.9543321352	0.03811175863
60	0.9561491043	0.03734589486
61	0.9579907999	0.03655323698
62	0.9596527456	0.0358228908
63	0.9611789745	0.03513881713
64	0.96256379	0.03450639376
65	0.9640405548	0.03381895061
66	0.965445094	0.03315190538
67	0.9667534699	0.03251822251
68	0.9679845965	0.03191046451
69	0.9691880195	0.03130498089
70	0.9702642869	0.03075337723
71	0.9713555394	0.03018380321
72	0.9723938326	0.02963170865
73	0.973347605	0.02911533267
74	0.9742569265	0.02861434665
75	0.9751236344	0.02812853422
76	0.9759527752	0.02765579309
77	0.9767456823	0.02719602531
78	0.9774901498	0.02675715524
79	0.9782044253	0.02632920816
80	0.9789050978	0.02590254245
81	0.9795352448	0.02551272881
82	0.980171089	0.02511325857
83	0.9807639164	0.0247350028
84	0.981330714	0.02436786562
85	0.9818719088	0.0240120741
86	0.9823674886	0.02368158263
87	0.9828456254	0.02335829186
88	0.9832865274	0.02305616032
89	0.9837269506	0.02275035131
90	0.9841359006	0.02246266843
91	0.9845367988	0.02217702771
92	0.9849116892	0.02190654793
93	0.9852728393	0.02164278519
94	0.9856213316	0.02138518292
95	0.9859527828	0.02113726463
96	0.986267392	0.0208992234
97	0.9865771887	0.02066214377
98	0.9868707948	0.02043491591
99	0.9871548973	0.02021261141
100	0.9874146634	0.02000718801
101	0.9876517529	0.01981783883
102	0.987899131	0.01961832462
103	0.9881192333	0.01943908727
104	0.9883448946	0.01925359086
105	0.9885626623	0.0190728726
106	0.9887590649	0.01890840328
107	0.9889457714	0.01875071606
108	0.9891298126	0.01859397113
109	0.9892958562	0.01845141186
110	0.9894787557	0.01829309494
111	0.9896449294	0.01814805842
112	0.9897977702	0.01801362789
113	0.9899606938	0.01786921554
114	0.9901057079	0.01773968891
115	0.9902450086	0.01761436865
116	0.9903865263	0.01748613419
117	0.9905215132	0.01736293503
118	0.9906615543	0.01723419233
119	0.9907933408	0.01711215363
120	0.990912986	0.01700059942
121	0.9910456167	0.01687607617
122	0.9911656948	0.01676254035
123	0.9912737836	0.01665967885
124	0.9913803306	0.01655765928
125	0.9914822239	0.01645950409
126	0.991584335	0.01636054836
127	0.991679962	0.01626733054
128	0.9917663091	0.01618269749
129	0.9918504443	0.01609980453
130	0.9919367442	0.01601433304
131	0.9920247214	0.01592672819
132	0.9921166054	0.01583471563
133	0.9921888777	0.01576196485
134	0.9922700296	0.0156798734
135	0.9923505297	0.01559801439
136	0.9924176169	0.01552946508
137	0.9925003093	0.01544455192
138	0.9925720153	0.01537054042
139	0.9926406617	0.01529935143
140	0.9927177839	0.01521897545
141	0.9927849557	0.01514862226
142	0.9928565302	0.0150732965
143	0.9929162867	0.01501011863
144	0.9929845947	0.01493757223
145	0.9930389553	0.01487958594
146	0.9931103117	0.01480312558
147	0.9931670781	0.01474201555
148	0.9932264857	0.01467778977
149	0.9932816331	0.01461791709
150	0.9933307596	0.01456437402
151	0.9933846927	0.01450536459
152	0.9934333908	0.01445187588
153	0.9934798611	0.01440064888
154	0.993529218	0.01434603949
155	0.9935623594	0.01430925425
156	0.9936063499	0.01426028052
157	0.9936526147	0.01420859278
158	0.9937045094	0.01415039059
159	0.9937511129	0.01409791783
160	0.993791456	0.01405233574
161	0.9938372509	0.01400041403
162	0.9938791756	0.0139527109
163	0.9939209323	0.01390503627
164	0.9939645528	0.01385505851
165	0.9940071773	0.01380604714
166	0.9940416272	0.01376630773
167	0.9940769567	0.01372543411
168	0.9941167926	0.01367920055
169	0.9941503772	0.01364010036
170	0.9941906133	0.01359310831
171	0.9942311083	0.01354564939
172	0.994267495	0.01350286285
173	0.9943024704	0.01346160768
174	0.9943293453	0.01342982143
175	0.9943608629	0.01339244778
176	0.9943949548	0.01335190381
177	0.9944296551	0.0133105095
178	0.9944592786	0.01327506914
179	0.9944905185	0.01323759222
180	0.994515514	0.01320752994
181	0.994546088	0.01317066486
182	0.9945766847	0.01313366893
183	0.9946037553	0.01310084939
184	0.9946343778	0.01306362427
185	0.9946569574	0.01303610818
186	0.9946796909	0.01300834565
187	0.9947126296	0.01296801501
188	0.9947371018	0.01293796944
189	0.9947675036	0.01290054645
190	0.9947915465	0.01287087377
191	0.9948162307	0.01284033841
192	0.9948408978	0.01280975141
193	0.9948663361	0.01277813153
194	0.9948957313	0.01274149542
195	0.9949163778	0.01271569989
196	0.9949388625	0.01268754818
197	0.9949639725	0.01265603542
198	0.9949837063	0.01263121455
199	0.9950121508	0.0125953516
200	0.9950333625	0.0125685411
201	0.9950536777	0.0125428099
202	0.9950752056	0.01251548508
203	0.9950997172	0.01248430033
204	0.9951177056	0.01246136504
205	0.9951367194	0.01243707637
206	0.9951556895	0.01241279617
207	0.9951821622	0.0123788336
208	0.9952047396	0.01234979459
209	0.9952294426	0.01231794329
210	0.9952478219	0.01229419196
211	0.9952694203	0.01226622193
212	0.9952904927	0.01223887142
213	0.9953124774	0.01221027153
214	0.9953313343	0.01218568715
215	0.9953464995	0.01216587973
216	0.9953647404	0.01214201223
217	0.9953807293	0.01212105281
218	0.9953952076	0.01210204227
219	0.9954151684	0.01207578384
220	0.9954349286	0.01204973304
