iter	Passed	Remaining
0	23	23480
1	46	23431
2	58	19485
3	88	22041
4	106	21156
5	159	26419
6	186	26414
7	211	26279
8	242	26663
9	278	27572
10	319	28724
11	351	28965
12	383	29133
13	419	29511
14	437	28699
15	464	28550
16	487	28170
17	505	27592
18	523	27045
19	539	26447
20	563	26267
21	572	25432
22	599	25471
23	618	25142
24	637	24872
25	647	24259
26	665	23967
27	685	23779
28	704	23601
29	731	23659
30	750	23466
31	768	23243
32	784	23000
33	802	22808
34	820	22631
35	838	22455
36	863	22471
37	872	22091
38	890	21953
39	909	21833
40	928	21723
41	946	21598
42	963	21443
43	982	21355
44	1001	21262
45	1023	21233
46	1042	21132
47	1061	21062
48	1079	20954
49	1101	20926
50	1118	20813
51	1139	20772
52	1166	20834
53	1184	20756
54	1202	20662
55	1221	20586
56	1238	20488
57	1258	20447
58	1283	20464
59	1303	20419
60	1323	20371
61	1343	20327
62	1369	20365
63	1416	20719
64	1453	20903
65	1475	20884
66	1498	20863
67	1519	20829
68	1538	20765
69	1558	20708
70	1597	20896
71	1624	20938
72	1644	20886
73	1663	20820
74	1684	20773
75	1702	20701
76	1725	20680
77	1747	20651
78	1770	20643
79	1789	20575
80	1808	20523
81	1827	20459
82	1844	20380
83	1875	20447
84	1909	20552
85	1928	20499
86	1948	20451
87	1965	20368
88	1984	20315
89	2008	20306
90	2033	20310
91	2049	20231
92	2065	20144
93	2082	20067
94	2099	20002
95	2117	19941
96	2132	19855
97	2156	19846
98	2188	19916
99	2213	19917
100	2230	19856
101	2247	19783
102	2262	19703
103	2279	19638
104	2305	19648
105	2327	19626
106	2342	19547
107	2355	19454
108	2372	19394
109	2391	19350
110	2419	19380
111	2454	19457
112	2478	19458
113	2498	19415
114	2515	19357
115	2531	19295
116	2550	19251
117	2571	19217
118	2596	19223
119	2614	19172
120	2634	19140
121	2648	19058
122	2668	19027
123	2683	18958
124	2702	18918
125	2719	18866
126	2741	18845
127	2759	18796
128	2776	18746
129	2794	18703
130	2810	18644
131	2825	18581
132	2842	18527
133	2865	18519
134	2905	18618
135	2923	18571
136	2938	18513
137	2953	18450
138	2969	18394
139	2985	18337
140	3003	18299
141	3021	18256
142	3054	18306
143	3077	18293
144	3095	18254
145	3114	18215
146	3134	18190
147	3153	18153
148	3182	18175
149	3203	18154
150	3224	18127
151	3238	18065
152	3253	18008
153	3268	17957
154	3286	17916
155	3303	17873
156	3338	17926
157	3361	17915
158	3379	17877
159	3401	17859
160	3419	17818
161	3432	17756
162	3455	17744
163	3475	17718
164	3493	17678
165	3509	17634
166	3527	17595
167	3542	17545
168	3558	17496
169	3573	17448
170	3600	17454
171	3620	17428
172	3637	17387
173	3653	17345
174	3669	17297
175	3684	17251
176	3702	17213
177	3718	17172
178	3741	17162
179	3767	17161
180	3785	17131
181	3803	17092
182	3821	17060
183	3836	17013
184	3853	16974
185	3869	16932
186	3886	16898
187	3929	16973
188	3953	16966
189	3969	16923
190	3985	16879
191	4002	16842
192	4017	16797
193	4044	16804
194	4071	16808
195	4095	16798
196	4113	16766
197	4131	16733
198	4194	16884
199	4279	17116
200	4342	17261
201	4446	17566
202	4511	17714
203	4561	17800
204	4599	17838
205	4624	17824
206	4645	17794
207	4676	17808
208	4696	17774
209	4715	17737
210	4733	17701
211	4759	17689
212	4781	17666
213	4797	17620
214	4813	17573
215	4828	17525
216	4847	17489
217	4867	17461
218	4893	17450
219	4917	17436
220	4933	17391
221	4947	17338
222	4964	17296
223	4980	17254
224	4994	17204
225	5010	17159
226	5034	17145
227	5054	17114
228	5071	17074
229	5100	17076
230	5117	17035
231	5133	16994
232	5148	16947
233	5172	16932
234	5201	16931
235	5216	16888
236	5233	16848
237	5250	16809
238	5265	16766
239	5286	16739
240	5302	16698
241	5329	16693
242	5348	16662
243	5364	16621
244	5382	16586
245	5405	16567
246	5430	16555
247	5453	16536
248	5487	16551
249	5509	16527
250	5532	16509
251	5552	16481
252	5574	16458
253	5599	16445
254	5636	16467
255	5657	16442
256	5676	16409
257	5694	16377
258	5715	16351
259	5741	16341
260	5769	16335
261	5792	16316
262	5811	16284
263	5832	16259
264	5850	16227
265	5877	16217
266	5906	16216
267	5931	16199
268	5949	16168
269	5973	16151
270	5992	16120
271	6016	16101
272	6055	16124
273	6074	16095
274	6095	16069
275	6115	16040
276	6134	16010
277	6159	15997
278	6190	15997
279	6210	15970
280	6228	15937
281	6253	15921
282	6273	15894
283	6293	15866
284	6322	15862
285	6353	15862
286	6374	15836
287	6401	15826
288	6419	15793
289	6440	15767
290	6475	15776
291	6501	15763
292	6520	15734
293	6540	15705
294	6565	15691
295	6587	15667
296	6622	15674
297	6641	15646
298	6661	15616
299	6684	15598
300	6703	15567
301	6722	15538
302	6756	15542
303	6786	15536
304	6806	15508
305	6824	15477
306	6845	15451
307	6872	15439
308	6903	15438
309	6923	15409
310	6943	15383
311	6968	15366
312	6986	15334
313	7012	15319
314	7033	15294
315	7059	15279
316	7082	15260
317	7104	15237
318	7123	15208
319	7145	15184
320	7186	15201
321	7204	15169
322	7222	15138
323	7242	15111
324	7263	15085
325	7302	15096
326	7326	15078
327	7346	15050
328	7368	15028
329	7391	15007
330	7410	14976
331	7439	14968
332	7467	14957
333	7487	14930
334	7509	14906
335	7527	14875
336	7549	14853
337	7568	14822
338	7602	14824
339	7629	14810
340	7650	14784
341	7669	14756
342	7689	14727
343	7718	14719
344	7750	14715
345	7771	14689
346	7790	14659
347	7816	14644
348	7835	14615
349	7854	14586
350	7888	14586
351	7913	14567
352	7934	14542
353	7953	14514
354	7971	14484
355	7996	14465
356	8033	14468
357	8051	14438
358	8074	14417
359	8092	14387
360	8114	14363
361	8134	14336
362	8168	14333
363	8190	14311
364	8208	14281
365	8230	14257
366	8250	14230
367	8269	14202
368	8300	14194
369	8327	14179
370	8349	14155
371	8371	14131
372	8390	14103
373	8409	14075
374	8442	14071
375	8467	14052
376	8488	14027
377	8506	13997
378	8524	13967
379	8548	13947
380	8580	13940
381	8608	13927
382	8627	13898
383	8647	13871
384	8688	13878
385	8736	13897
386	8763	13881
387	8785	13858
388	8804	13828
389	8823	13801
390	8844	13775
391	8876	13767
392	8905	13754
393	8925	13728
394	8945	13700
395	8969	13680
396	8988	13652
397	9021	13646
398	9045	13624
